"hgnc" "ensembl"
"A1BG" "ENSG00000121410"
"A1BG-AS1" "ENSG00000268895"
"A1CF" "ENSG00000148584"
"A1S9T" NA
"A2M" "ENSG00000175899"
"A2M-AS1" "ENSG00000245105"
"A2ML1" "ENSG00000166535"
"A2ML1-AS1" "ENSG00000256661"
"A2ML1-AS2" "ENSG00000256904"
"A2MP1" "ENSG00000256069"
"A2MR" NA
"A2MRAP" NA
"A3GALT2" "ENSG00000184389"
"A4GALT" "ENSG00000128274"
"A4GNT" "ENSG00000118017"
"A12M1" NA
"A12M2" NA
"A12M3" NA
"A12M4" NA
"AA" NA
"AAAS" "ENSG00000094914"
"AABT" NA
"AAC1" NA
"AAC2" NA
"AACS" "ENSG00000081760"
"AACSP1" "ENSG00000250420"
"AACT" NA
"AADAC" "ENSG00000114771"
"AADACL2" "ENSG00000197953"
"AADACL2-AS1" "ENSG00000242908"
"AADACL3" "ENSG00000188984"
"AADACL4" "ENSG00000204518"
"AADACP1" "ENSG00000240602"
"AADAT" "ENSG00000109576"
"AAGAB" "ENSG00000103591"
"AAK1" "ENSG00000115977"
"AAMDC" "ENSG00000087884"
"AAMP" "ENSG00000127837"
"AANAT" "ENSG00000129673"
"AAR2" "ENSG00000131043"
"AARD" "ENSG00000205002"
"AARS1" "ENSG00000090861"
"AARS1P1" "ENSG00000249038"
"AARS2" "ENSG00000124608"
"AARSD1" "ENSG00000266967"
"AASDH" "ENSG00000157426"
"AASDHPPT" "ENSG00000149313"
"AASS" "ENSG00000008311"
"AATBC" "ENSG00000215458"
"AATF" "ENSG00000275700"
"AATK" "ENSG00000181409"
"AAVS1" NA
"ABALON" "ENSG00000281376"
"ABAT" "ENSG00000183044"
"ABC1" NA
"ABC2" NA
"ABC3" NA
"ABC7" NA
"ABC50" NA
"ABCA1" "ENSG00000165029"
"ABCA2" "ENSG00000107331"
"ABCA3" "ENSG00000167972"
"ABCA4" "ENSG00000198691"
"ABCA5" "ENSG00000154265"
"ABCA6" "ENSG00000154262"
"ABCA7" "ENSG00000064687"
"ABCA8" "ENSG00000141338"
"ABCA9" "ENSG00000154258"
"ABCA9-AS1" "ENSG00000231749"
"ABCA10" "ENSG00000154263"
"ABCA11P" "ENSG00000251595"
"ABCA12" "ENSG00000144452"
"ABCA13" "ENSG00000179869"
"ABCA17P" "ENSG00000238098"
"ABCB1" "ENSG00000085563"
"ABCB2" NA
"ABCB3" NA
"ABCB4" "ENSG00000005471"
"ABCB5" "ENSG00000004846"
"ABCB6" "ENSG00000115657"
"ABCB7" "ENSG00000131269"
"ABCB8" "ENSG00000197150"
"ABCB9" "ENSG00000150967"
"ABCB10" "ENSG00000135776"
"ABCB10P1" "ENSG00000274099"
"ABCB10P2" NA
"ABCB10P3" "ENSG00000261524"
