ensg hgnc
ENSG00000237683 AL627309.1
ENSG00000228327 RP11-206L10.2
ENSG00000237491 RP11-206L10.9
ENSG00000225880 LINC00115
ENSG00000230368 FAM41C
ENSG00000187634 SAMD11
ENSG00000188976 NOC2L
ENSG00000187961 KLHL17
ENSG00000187583 PLEKHN1
ENSG00000188290 HES4
ENSG00000224969 RP11-54O7.11
ENSG00000187608 ISG15
ENSG00000188157 AGRN
ENSG00000273443 RP11-54O7.18
ENSG00000237330 RNF223
ENSG00000131591 C1orf159
ENSG00000223823 RP11-465B22.5
ENSG00000162571 TTLL10
ENSG00000186891 TNFRSF18
ENSG00000186827 TNFRSF4
ENSG00000078808 SDF4
ENSG00000176022 B3GALT6
ENSG00000184163 FAM132A
ENSG00000260179 RP5-902P8.12
ENSG00000160087 UBE2J2
ENSG00000162572 SCNN1D
ENSG00000131584 ACAP3
ENSG00000169972 PUSL1
ENSG00000127054 CPSF3L
ENSG00000224051 GLTPD1
ENSG00000169962 TAS1R3
ENSG00000107404 DVL1
ENSG00000162576 MXRA8
ENSG00000175756 AURKAIP1
ENSG00000221978 CCNL2
ENSG00000224870 RP4-758J18.2
ENSG00000242485 MRPL20
ENSG00000272455 RP4-758J18.13
ENSG00000235098 ANKRD65
ENSG00000225285 RP4-758J18.10
ENSG00000215915 ATAD3C
ENSG00000160072 ATAD3B
ENSG00000197785 ATAD3A
ENSG00000160075 SSU72
ENSG00000215014 AL645728.1
ENSG00000228594 C1orf233
ENSG00000272106 RP11-345P4.9
ENSG00000197530 MIB2
ENSG00000189409 MMP23B
ENSG00000248333 CDK11B
ENSG00000272004 RP11-345P4.10
ENSG00000189339 SLC35E2B
ENSG00000008128 CDK11A
ENSG00000215790 SLC35E2
ENSG00000008130 NADK
ENSG00000078369 GNB1
ENSG00000178821 TMEM52
ENSG00000067606 PRKCZ
ENSG00000271806 RP5-892K4.1
ENSG00000182873 RP11-181G12.2
ENSG00000162585 C1orf86
ENSG00000269554 AL590822.2
ENSG00000203301 AL590822.1
ENSG00000157933 SKI
ENSG00000116151 MORN1
ENSG00000157916 RER1
ENSG00000157911 PEX10
ENSG00000149527 PLCH2
ENSG00000157881 PANK4
ENSG00000272449 RP3-395M20.12
ENSG00000157873 TNFRSF14
ENSG00000228037 RP3-395M20.9
ENSG00000157870 FAM213B
ENSG00000142606 MMEL1
ENSG00000215912 TTC34
ENSG00000162591 MEGF6
ENSG00000238260 RP11-46F15.2
ENSG00000158109 TPRG1L
ENSG00000116213 WRAP73
ENSG00000227372 TP73-AS1
ENSG00000235169 SMIM1
ENSG00000130764 LRRC47
ENSG00000272153 RP1-286D6.5
ENSG00000116198 CEP104
ENSG00000169598 DFFB
ENSG00000198912 C1orf174
